date_day,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend
2020-11-01,2020,4,11,November,43,7,Sunday,TRUE
2020-11-02,2020,4,11,November,44,1,Monday,FALSE
2020-11-03,2020,4,11,November,44,2,Tuesday,FALSE
2020-11-04,2020,4,11,November,44,3,Wednesday,FALSE
2020-11-05,2020,4,11,November,44,4,Thursday,FALSE
2020-11-06,2020,4,11,November,44,5,Friday,FALSE
2020-11-07,2020,4,11,November,44,6,Saturday,TRUE
2020-11-08,2020,4,11,November,44,7,Sunday,TRUE
2020-11-09,2020,4,11,November,45,1,Monday,FALSE
2020-11-10,2020,4,11,November,45,2,Tuesday,FALSE
2020-11-11,2020,4,11,November,45,3,Wednesday,FALSE
2020-11-12,2020,4,11,November,45,4,Thursday,FALSE
2020-11-13,2020,4,11,November,45,5,Friday,FALSE
2020-11-14,2020,4,11,November,45,6,Saturday,TRUE
2020-11-15,2020,4,11,November,45,7,Sunday,TRUE
2020-11-16,2020,4,11,November,46,1,Monday,FALSE
2020-11-17,2020,4,11,November,46,2,Tuesday,FALSE
2020-11-18,2020,4,11,November,46,3,Wednesday,FALSE
2020-11-19,2020,4,11,November,46,4,Thursday,FALSE
2020-11-20,2020,4,11,November,46,5,Friday,FALSE
2020-11-21,2020,4,11,November,46,6,Saturday,TRUE
2020-11-22,2020,4,11,November,46,7,Sunday,TRUE
2020-11-23,2020,4,11,November,47,1,Monday,FALSE
2020-11-24,2020,4,11,November,47,2,Tuesday,FALSE
2020-11-25,2020,4,11,November,47,3,Wednesday,FALSE
2020-11-26,2020,4,11,November,47,4,Thursday,FALSE
2020-11-27,2020,4,11,November,47,5,Friday,FALSE
2020-11-28,2020,4,11,November,47,6,Saturday,TRUE
2020-11-29,2020,4,11,November,47,7,Sunday,TRUE
2020-11-30,2020,4,11,November,48,1,Monday,FALSE
2020-12-01,2020,4,12,December,48,2,Tuesday,FALSE
2020-12-02,2020,4,12,December,48,3,Wednesday,FALSE
2020-12-03,2020,4,12,December,48,4,Thursday,FALSE
2020-12-04,2020,4,12,December,48,5,Friday,FALSE
2020-12-05,2020,4,12,December,48,6,Saturday,TRUE
2020-12-06,2020,4,12,December,48,7,Sunday,TRUE
2020-12-07,2020,4,12,December,49,1,Monday,FALSE
2020-12-08,2020,4,12,December,49,2,Tuesday,FALSE
2020-12-09,2020,4,12,December,49,3,Wednesday,FALSE
2020-12-10,2020,4,12,December,49,4,Thursday,FALSE
2020-12-11,2020,4,12,December,49,5,Friday,FALSE
2020-12-12,2020,4,12,December,49,6,Saturday,TRUE
2020-12-13,2020,4,12,December,49,7,Sunday,TRUE
2020-12-14,2020,4,12,December,50,1,Monday,FALSE
2020-12-15,2020,4,12,December,50,2,Tuesday,FALSE
2020-12-16,2020,4,12,December,50,3,Wednesday,FALSE
2020-12-17,2020,4,12,December,50,4,Thursday,FALSE
2020-12-18,2020,4,12,December,50,5,Friday,FALSE
2020-12-19,2020,4,12,December,50,6,Saturday,TRUE
2020-12-20,2020,4,12,December,50,7,Sunday,TRUE
2020-12-21,2020,4,12,December,51,1,Monday,FALSE
2020-12-22,2020,4,12,December,51,2,Tuesday,FALSE
2020-12-23,2020,4,12,December,51,3,Wednesday,FALSE
2020-12-24,2020,4,12,December,51,4,Thursday,FALSE
2020-12-25,2020,4,12,December,51,5,Friday,FALSE
2020-12-26,2020,4,12,December,51,6,Saturday,TRUE
2020-12-27,2020,4,12,December,51,7,Sunday,TRUE
2020-12-28,2020,4,12,December,52,1,Monday,FALSE
2020-12-29,2020,4,12,December,52,2,Tuesday,FALSE
2020-12-30,2020,4,12,December,52,3,Wednesday,FALSE
2020-12-31,2020,4,12,December,52,4,Thursday,FALSE
2021-01-01,2021,1,1,January,0,5,Friday,FALSE
2021-01-02,2021,1,1,January,0,6,Saturday,TRUE
2021-01-03,2021,1,1,January,0,7,Sunday,TRUE
2021-01-04,2021,1,1,January,1,1,Monday,FALSE
2021-01-05,2021,1,1,January,1,2,Tuesday,FALSE
2021-01-06,2021,1,1,January,1,3,Wednesday,FALSE
2021-01-07,2021,1,1,January,1,4,Thursday,FALSE
2021-01-08,2021,1,1,January,1,5,Friday,FALSE
2021-01-09,2021,1,1,January,1,6,Saturday,TRUE
2021-01-10,2021,1,1,January,1,7,Sunday,TRUE
2021-01-11,2021,1,1,January,2,1,Monday,FALSE
2021-01-12,2021,1,1,January,2,2,Tuesday,FALSE
2021-01-13,2021,1,1,January,2,3,Wednesday,FALSE
2021-01-14,2021,1,1,January,2,4,Thursday,FALSE
2021-01-15,2021,1,1,January,2,5,Friday,FALSE
2021-01-16,2021,1,1,January,2,6,Saturday,TRUE
2021-01-17,2021,1,1,January,2,7,Sunday,TRUE
2021-01-18,2021,1,1,January,3,1,Monday,FALSE
2021-01-19,2021,1,1,January,3,2,Tuesday,FALSE
2021-01-20,2021,1,1,January,3,3,Wednesday,FALSE
2021-01-21,2021,1,1,January,3,4,Thursday,FALSE
2021-01-22,2021,1,1,January,3,5,Friday,FALSE
2021-01-23,2021,1,1,January,3,6,Saturday,TRUE
2021-01-24,2021,1,1,January,3,7,Sunday,TRUE
2021-01-25,2021,1,1,January,4,1,Monday,FALSE
2021-01-26,2021,1,1,January,4,2,Tuesday,FALSE
2021-01-27,2021,1,1,January,4,3,Wednesday,FALSE
2021-01-28,2021,1,1,January,4,4,Thursday,FALSE
2021-01-29,2021,1,1,January,4,5,Friday,FALSE
2021-01-30,2021,1,1,January,4,6,Saturday,TRUE
2021-01-31,2021,1,1,January,4,7,Sunday,TRUE
